id	name	shortname	label	method	project	donor	species	strain	age	ageunit	agetext	sex	numpooledanimals	plugdate	tissue	roi	neuronprop	targetnumcells	cellconc	datecaptured	sampleok	chemistry	transcriptome	comment	analysis	all_fc_analysis_id	editby	editat
390	10X97_2	BRC2021_Hippocampus		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Hippocampus		N/A	5000	860	2018-01-24	N	v2	GRCh38-3.0.0	2nd 10xchip and wait a little longer to load in chip.	Ready (10X97_2_GRCh38-3_0_0)	1474	emelie	2019-11-13 10:19:15
391	10X97_3	BRC2021_Ventral_midbrain		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Ventral midbrain		N/A	5000	1500	2018-01-24	N	v2	GRCh38-3.0.0	2nd 10xchip and wait a little longer to load in chip.	Ready (10X97_3_GRCh38-3_0_0)	1480	emelie	2019-11-13 10:18:54
392	10X97_4	BRC2021_Ventral_midbrain		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Ventral midbrain		N/A	5000	1500	2018-01-24	N	v2	GRCh38-3.0.0	2nd 10xchip and wait a little longer to load in chip.	Ready (10X97_4_GRCh38-3_0_0)	1458	emelie	2019-11-13 10:18:32
393	10X98_1	BRC2021_Hypothalamus		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Hypothalamus		N/A	5000	1380	2018-01-25	N	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X98_1_GRCh38-3_0_0)	1440	emelie	2019-11-13 10:18:23
394	10X98_2	BRC2021_Hypothalamus		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Hypothalamus		N/A	5000	1380	2018-01-25	N	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X98_2_GRCh38-3_0_0)	1459	emelie	2019-11-13 10:17:59
395	10X98_3	BRC2021_LGE_(striatum)		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				LGE (striatum)		N/A	5000	1630	2018-01-25	N	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X98_3_GRCh38-3_0_0)	1461	emelie	2019-11-13 10:17:35
396	10X98_4	BRC2021_LGE_(striatum)		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				LGE (striatum)		N/A	5000	1630	2018-01-25	N	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X98_4_GRCh38-3_0_0)	1463	emelie	2019-11-13 10:17:25
397	10X98_5	BRC2021_Medulla		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Medulla		N/A	5000	560	2018-01-25	N	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X98_5_GRCh38-3_0_0)	1571	emelie	2019-11-13 10:17:14
398	10X98_6	BRC2021_Medulla		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Medulla		N/A	5000	560	2018-01-25	N	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X98_6_GRCh38-3_0_0)	1576	emelie	2019-11-13 10:17:03
399	10X99_1	BRC2021_MGE_(striatum)		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				MGE (striatum)		N/A	5000	450	2018-01-25	N	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X99_1_GRCh38-3_0_0)	1605	emelie	2019-11-13 10:16:50
400	10X99_2	BRC2021_MGE_(striatum)		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				MGE (striatum)		N/A	5000	450	2018-01-25	N	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X99_2_GRCh38-3_0_0)	1604	emelie	2019-11-13 10:16:41
401	10X99_3	BRC2021_Pons		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Pons		N/A	5000	1450	2018-01-25	N	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X99_3_GRCh38-3_0_0)	1603	emelie	2019-11-13 10:16:21
402	10X99_4	BRC2021_Pons		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Pons		N/A	5000	1450	2018-01-25	N	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X99_4_GRCh38-3_0_0)	1538	emelie	2019-11-13 10:16:13
403	10X99_5	BRC2021_Thalamus		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Thalamus		N/A	5000	660	2018-01-25	Y	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X99_5_GRCh38-3_0_0)	1602	emelie	2019-11-13 10:16:02
404	10X99_6	BRC2021_Thalamus		rna-seq	Dev human	BRC2021	Hs		8.0	pcw	8w				Thalamus		N/A	5000	660	2018-01-25	Y	v2	GRCh38-3.0.0	cells were dissected the day after the sample arrived.	Ready (10X99_6_GRCh38-3_0_0)	1417	emelie	2019-11-13 10:15:54
411	10X101_1	XHU:1405:297_Cortex		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Cortex		N/A	5000	1130	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X101_1_GRCh38-3_0_0)	1429	emelie	2019-05-30 16:52:20
412	10X101_2	XHU:1405:297_Cortex		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Cortex		N/A	5000	1130	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X101_2_GRCh38-3_0_0)	1490	emelie	2019-05-30 16:53:56
413	10X101_3	XHU:1405:297_Cortex		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Cortex		N/A	5000	1130	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X101_3_GRCh38-3_0_0)	1498	emelie	2019-05-30 16:54:28
414	10X101_4	XHU:1405:297_Cortex		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Cortex		N/A	5000	1130	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X101_4_GRCh38-3_0_0)	1528	emelie	2019-05-30 16:55:02
415	10X101_5	XHU:1405:297_Forebrain		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Forebrain		N/A	5000	1850	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X101_5_GRCh38-3_0_0)	1432	emelie	2019-05-30 16:57:07
416	10X101_6	XHU:1405:297_Forebrain		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Forebrain		N/A	5000	1850	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X101_6_GRCh38-3_0_0)	1566	emelie	2019-05-31 10:32:15
417	10X101_7	XHU:1405:297_Forebrain		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Forebrain		N/A	5000	1850	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X101_7_GRCh38-3_0_0)	1441	emelie	2019-05-31 10:31:05
418	10X101_8	XHU:1405:297_Forebrain		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Forebrain		N/A	5000	1850	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X101_8_GRCh38-3_0_0)	1418	emelie	2019-05-31 10:32:05
419	10X102_1	XHU:1405:297_Cortex		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Cortex		N/A	5000	1130	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X102_1_GRCh38-3_0_0.old1)	1661	emelie	2019-05-31 15:01:23
420	10X102_2	XHU:1405:297_Cortex		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Cortex		N/A	5000	1130	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X102_2_GRCh38-3_0_0)	1437	emelie	2019-05-31 10:31:38
421	10X102_3	XHU:1405:297_Cortex		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Cortex		N/A	5000	1130	2018-03-29	Y	v2	GRCh38-3.0.0		Queueing	2107	emelie	2019-05-31 10:32:27
422	10X102_4	XHU:1405:297_Cortex		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Cortex		N/A	5000	1130	2018-03-29	Y	v2	GRCh38-3.0.0		Queueing	2108	emelie	2019-05-31 10:32:43
423	10X102_5	XHU:1405:297_Forebrain		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Forebrain		N/A	5000	1850	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X102_5_GRCh38-3_0_0)	1446	emelie	2019-05-31 10:32:58
424	10X102_6	XHU:1405:297_Forebrain		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Forebrain		N/A	5000	1850	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X102_6_GRCh38-3_0_0)	1468	emelie	2019-05-31 10:33:14
425	10X102_7	XHU:1405:297_Forebrain		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Forebrain		N/A	5000	1850	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X102_7_GRCh38-3_0_0)	1479	emelie	2019-05-31 10:55:50
426	10X102_8	XHU:1405:297_Forebrain		rna-seq	Dev human	XHU:1405:297	Hs		10.0	pcw	10w				Forebrain		N/A	5000	1850	2018-03-29	Y	v2	GRCh38-3.0.0		Ready (10X102_8_GRCh38-3_0_0)	1469	emelie	2019-05-31 10:56:09
427	10X103_1	BRC2057_Amygdala		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Amygdala		N/A	4000	1280	2018-04-18	N	v2	GRCh38-3.0.0		Ready (10X103_1_GRCh38-3_0_0)	1485	emelie	2019-11-13 10:26:38
428	10X103_2	BRC2057_Amygdala		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Amygdala		N/A	4000	1280	2018-04-18	N	v2	GRCh38-3.0.0		Ready (10X103_2_GRCh38-3_0_0)	1495	emelie	2019-11-13 10:26:52
429	10X103_3	BRC2057_Ventral_midbrain		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Ventral midbrain		N/A	4000	1330		N	v2	GRCh38-3.0.0		Ready (10X103_3_GRCh38-3_0_0)	1499	emelie	2019-11-13 10:27:03
430	10X103_4	BRC2057_Ventral_midbrain		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Ventral midbrain		N/A	4000	1330	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:27:15
431	10X103_5	BRC2057_Ventral_midbrain		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Ventral midbrain		N/A		1330	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:27:25
432	10X103_6	BRC2057_Ventral_midbrain		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Ventral midbrain		N/A		1330	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:27:34
433	10X104_1	BRC2057_Cerebellum		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Cerebellum		N/A	4000	1770	2018-04-18	Y	v2	GRCh38-3.0.0		Ready (10X104_1_GRCh38-3_0_0)	1580	emelie	2019-11-13 10:27:42
434	10X104_2	BRC2057_Cerebellum		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Cerebellum		N/A	4000	1770	2018-04-18	N	v2	GRCh38-3.0.0		Ready (10X104_2_GRCh38-3_0_0)	1583	emelie	2019-11-13 10:27:50
435	10X104_3	BRC2057_Hypothalamus		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Hypothalamus		N/A	4000	1060	2018-04-18	Y	v2	GRCh38-3.0.0		Ready (10X104_3_GRCh38-3_0_0)	1563	emelie	2019-11-13 10:27:59
436	10X104_4	BRC2057_Hypothalamus		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Hypothalamus		N/A	4000	1060	2018-04-18	Y	v2	GRCh38-3.0.0		Ready (10X104_4_GRCh38-3_0_0)	1615	emelie	2019-11-13 10:28:08
437	10X104_5	BRC2057_Hypothalamus		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Hypothalamus		N/A	4000	1060	2018-04-18	Y	v2	GRCh38-3.0.0		Ready (10X104_5_GRCh38-3_0_0)	1617	emelie	2019-11-13 10:28:18
438	10X104_6	BRC2057_Thalamus		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Thalamus		N/A	4000	1520	2018-04-18	Y	v2	GRCh38-3.0.0		Ready (10X104_6_GRCh38-3_0_0)	1619	emelie	2019-11-13 10:28:29
439	10X104_7	BRC2057_Thalamus		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Thalamus		N/A	4000	1520		Y	v2	GRCh38-3.0.0		Ready (10X104_7_GRCh38-3_0_0)	1621	emelie	2019-11-13 10:28:38
440	10X104_8	BRC2057_Thalamus		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Thalamus		N/A	4000	1520	2018-04-18	Y	v2	GRCh38-3.0.0		Ready (10X104_8_GRCh38-3_0_0)	1222	emelie	2019-11-13 10:28:47
441	10X105_1	BRC2057_Cortex_anterior		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Cortex anterior		N/A	4000	1130	2018-04-18	N	v2	GRCh38-3.0.0		Ready (10X105_1_GRCh38-3_0_0)	1567	emelie	2019-11-13 10:28:55
442	10X105_2	BRC2057_Cortex_anterior		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Cortex anterior		N/A	4000	1130	2018-04-18	N	v2	GRCh38-3.0.0		Ready (10X105_2_GRCh38-3_0_0)	1368	emelie	2019-11-13 10:29:03
443	10X105_3	BRC2057_Cortex_anterior		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Cortex anterior		N/A	4000	1130	2018-04-18	N	v2	GRCh38-3.0.0		Ready (10X105_3_GRCh38-3_0_0)	1419	emelie	2019-11-13 10:29:11
444	10X105_4	BRC2057_Cortex_middle		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Cortex middle		N/A	4000	1840	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:29:18
445	10X105_5	BRC2057_Cortex_middle		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Cortex middle		N/A	4000	1840	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:29:28
446	10X105_6	BRC2057_Cortex_middle		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Cortex middle		N/A	4000	1840	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:29:38
447	10X105_7	BRC2057_Cortex_middle		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Cortex middle		N/A	4000	1840	2018-04-18	N	v2	GRCh38-3.0.0		Ready (10X105_7_GRCh38-3_0_0)	1504	emelie	2019-11-13 10:29:46
448	10X105_8	BRC2057_LGE_(striatum)		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				LGE (striatum)		N/A	4000	300	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:29:59
449	10X106_1	BRC2057_Medulla_caudal		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Medulla caudal		N/A	4000	680	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:30:11
450	10X106_2	BRC2057_Medulla_caudal		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Medulla caudal		N/A	4000	680	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:30:20
451	10X106_3	BRC2057_Medulla_middle		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Medulla middle		N/A	4000	640	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:30:27
452	10X106_4	BRC2057_Medulla_middle		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Medulla middle		N/A	4000	640	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:30:36
453	10X106_5	BRC2057_Pons_caudal		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Pons caudal		N/A	4000	860	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:30:45
454	10X106_6	BRC2057_Pons_caudal		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Pons caudal		N/A	4000	860	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:30:51
455	10X106_7	BRC2057_Pons_rostral		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Pons rostral		N/A	4000	950	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:30:58
456	10X106_8	BRC2057_Pons_rostral		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Pons rostral		N/A	4000	950	2018-04-18	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:31:06
457	10X107_1	BRC2057_Medulla_rostral		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Medulla rostral		N/A	4000	680	2018-04-19	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:31:12
458	10X107_2	BRC2057_Medulla_rostral		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				Medulla rostral		N/A	4000	680	2018-04-19	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:31:18
459	10X107_3	BRC2057_MGE_(striatum)		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				MGE (striatum)		N/A	4000	1170	2018-04-19	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:33:15
460	10X107_4	BRC2057_MGE_(striatum)		rna-seq	Dev human	BRC2057	Hs		8.1	pcw	8.1w				MGE (striatum)		N/A	4000	1170	2018-04-19	N	v2	GRCh38-3.0.0		n/a		emelie	2019-11-13 10:31:35
462	10X109_1	BRC2073_Cerebellum		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Cerebellum		N/A	4000			N	v2	GRCh38-3.0.0		Ready (10X109_1_GRCh38-3_0_0)	1492	emelie	2019-11-13 10:32:35
463	10X109_2	BRC2073_Cerebellum		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Cerebellum		N/A	4000	1000		Y	v2	GRCh38-3.0.0		Ready (10X109_2_GRCh38-3_0_0)	1494	emelie	2019-05-31 11:57:15
464	10X109_3	BRC2073_Cerebellum		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Cerebellum		N/A	4000	1000		Y	v2	GRCh38-3.0.0		Ready (10X109_3_GRCh38-3_0_0)	1535	emelie	2019-05-31 11:57:33
465	10X109_4	BRC2073_Dorsal_midbrain		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Dorsal midbrain		N/A	4000	1000		Y	v2	GRCh38-3.0.0		Ready (10X109_4_GRCh38-3_0_0)	1543	emelie	2019-05-31 11:57:46
466	10X109_5	BRC2073_Dorsal_midbrain		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Dorsal midbrain		N/A	4000	1000		N	v2	GRCh38-3.0.0		Ready (10X109_5_GRCh38-3_0_0)	1545	emelie	2019-05-31 13:38:13
467	10X109_6	BRC2073_Dorsal_midbrain		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Dorsal midbrain		N/A	4000	1000		N	v2	GRCh38-3.0.0		n/a		emelie	2019-05-31 13:42:24
468	10X109_7	BRC2073_Medulla		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Medulla		N/A	4000	1000		Y	v2	GRCh38-3.0.0		Ready (10X109_7_GRCh38-3_0_0)	1548	emelie	2019-05-31 13:42:40
469	10X109_8	BRC2073_Pons		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Pons		N/A	4000	1000		N	v2	GRCh38-3.0.0		n/a		emelie	2019-05-31 13:43:04
470	10X110_1	BRC2073_Striatum		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Striatum		N/A	4000	1000		N	v2	GRCh38-3.0.0		n/a		emelie	2019-05-31 13:43:36
471	10X110_2	BRC2073_Striatum		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Striatum		N/A	4000	1000		N	v2	GRCh38-3.0.0		n/a		emelie	2019-05-31 13:43:53
472	10X110_3	BRC2073_Striatum		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Striatum		N/A	4000	1000		N	v2	GRCh38-3.0.0		n/a		emelie	2019-05-31 13:44:22
473	10X110_4	BRC2073_Thalamus		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Thalamus		N/A	4000	1000		Y	v2	GRCh38-3.0.0		Ready (10X110_4_GRCh38-3_0_0)	1433	emelie	2019-05-31 13:44:46
474	10X110_5	BRC2073_Thalamus		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Thalamus		N/A	4000	1000	2018-06-01	Y	v2	GRCh38-3.0.0		Ready (10X110_5_GRCh38-3_0_0)	1435	emelie	2019-05-31 13:45:13
475	10X110_6	BRC2073_Thalamus		rna-seq	Dev human	BRC2073	Hs		6.6	pcw	6.6w				Thalamus		N/A	4000	1000	2018-06-01	Y	v2	GRCh38-3.0.0		Ready (10X110_6_GRCh38-3_0_0)	1434	emelie	2019-05-31 13:46:41
